Entity,Day,Data
Africa,2021-12-07,126485310
Africa,2021-12-08,127211610
Africa,2021-12-09,127914190
Africa,2021-12-10,128767730
Africa,2021-12-11,129505170
Africa,2021-12-12,130287210
Africa,2021-12-13,131106890
Africa,2021-12-14,131938504
Africa,2021-12-15,132805590
Africa,2021-12-16,133806630
Africa,2021-12-17,134723340
Africa,2021-12-18,135627170
Africa,2021-12-19,136538140
Africa,2021-12-20,137531340
Africa,2021-12-21,138576850
Africa,2021-12-22,139621100
Africa,2021-12-23,140535500
Africa,2021-12-24,141382990
Africa,2021-12-25,142150290
Africa,2021-12-26,142894130
Africa,2021-12-27,143565540
Africa,2021-12-28,144302450
Africa,2021-12-29,145028930
Africa,2021-12-30,145750240
Africa,2021-12-31,146546930
Africa,2022-01-01,147485250
Africa,2022-01-02,148079570
Africa,2022-01-03,148782110
Africa,2022-01-04,149513860
Africa,2022-01-05,150137390
Africa,2022-01-06,150780210
Africa,2022-01-07,151719150
Africa,2022-01-08,152569090
Africa,2022-01-09,153318880
Africa,2022-01-10,154066420
Africa,2022-01-11,154735200
Africa,2022-01-12,155427700
Africa,2022-01-13,156143070
Africa,2022-01-14,156880130
Africa,2022-01-15,157586960
Africa,2022-01-16,158538030
Africa,2022-01-17,159486610
Africa,2022-01-18,160204030
Africa,2022-01-19,160926560
Africa,2022-01-20,161548820
Africa,2022-01-21,162190560
Africa,2022-01-22,162799380
Africa,2022-01-23,163353310
Africa,2022-01-24,163929140
Africa,2022-01-25,164566340
Africa,2022-01-26,165230370
Africa,2022-01-27,165957220
Africa,2022-01-28,166648720
Africa,2022-01-29,167352060
Africa,2022-01-30,168094400
Africa,2022-01-31,168910830
Africa,2022-02-01,169811650
Africa,2022-02-02,170690830
Africa,2022-02-03,171597920
Africa,2022-02-04,172498560
Africa,2022-02-05,173381340
Africa,2022-02-06,174234420
Africa,2022-02-07,174977380
Africa,2022-02-08,175729540
Africa,2022-02-09,176497200
Africa,2022-02-10,177242370
Africa,2022-02-11,177966060
Africa,2022-02-12,178702300
Africa,2022-02-13,179403710
Africa,2022-02-14,180137020
